Listing Name,Price,Room Type,Reviews,Location
"Colorful, quiet, & near the subway!",121,Private room,76 reviews,
"Peace room, private bath, breakfast",108,Private room,43 reviews,
Shared Apartment to share,135,Private room,0 reviews,
Cozy bedroom in Brooklyn!,114,Private room,21 reviews,
Bright & cozy room in Brooklyn!,54,Private room,0 reviews,
"BEST DEAL IN BROOKLYN, FULL SIZE BD",61,Private room,86 reviews,
Spacious 3 bedroom on Prospect Park,197,Entire home/apt,0 reviews,
Sunny Apartment with King Sized Bed,133,Entire home/apt,0 reviews,
Lrg 1 bdrm 1st Stop L Williamsburg,202,Entire home/apt,0 reviews,
Cozy 3 bedroom Brownstone,54,Shared room,4 reviews,
Gorgeous Bedroom in Brooklyn NYC!!,108,Private room,5 reviews,
"Your Brooklyn home, near Manhattan!",89,Private room,12 reviews,
Beautiful Large Room,108,Private room,0 reviews,
The Library Loft's White Room,121,Private room,51 reviews,
Private room in convenient location,404,Private room,6 reviews,
Large 1bd1ba + Backyard near Subway,133,Entire home/apt,0 reviews,
Spacious Private Room in Brooklyn,67,Private room,0 reviews,
Wburg 1 bedroom - Spacious & Sunny,195,Entire home/apt,1 review,
Beautiful 1 bedroom apartment,81,Entire home/apt,8 reviews,
Private cozy room for rent,121,Private room,0 reviews,
The JFK Stopover & Bookworm's Nook,40,Private room,32 reviews,
9Awesome Private Room Lux Loft,135,Private room,27 reviews,
1,135,Private room,0 reviews,
Incredible Budget Room w/ Comfy Bed,88,Private room,0 reviews,
Modern apartment in Clinton Hill,121,Private room,6 reviews,
Relaxed space ~30 min. to the city,47,Shared room,6 reviews,
The Overlook Patio.,74,Private room,4 reviews,
Top Floor Brownstone - Park Slope,114,Private room,0 reviews,
Stunning Greenpoint Penthouse,403,Entire home/apt,2 reviews,
Cosy appartment with huge rooftop,93,Private room,0 reviews,
Couch in cozy Brooklyn apartment.,61,Shared room,0 reviews,
Large 2 Bedrooms Apt. in Greenpoint,202,Entire home/apt,0 reviews,
"Peace room, private bath, breakfast",108,Private room,43 reviews,
Private Bedroom + Your Own Bathroom,101,Private room,3 reviews,
HUGE Bedroom in Brownstone,61,Private room,2 reviews,
Perfect One Bedroom in Brooklyn,81,Private room,2 reviews,
Bright Brooklyn Room in Shared Apt!,93,Private room,53 reviews,
"Family-friendly, cozy guest room",101,Private room,1 review,
Large sunny room for singel/couple,88,Private room,0 reviews,
Brownstone Top Floor 2BR,202,Entire home/apt,0 reviews,
SPACIOUS WILLIAMSBURG LOFT,108,Private room,1 review,
"Red Hook, Single RM, FISHGRALA",93,Private room,0 reviews,
Cozy Full Bed with Private Entrance,81,Private room,19 reviews,
Brooklyn 1BD with Private Entrance,108,Private room,8 reviews,
Gorgeous and Spacious NYC,83,Private room,3 reviews,
Clean Comfortable Apt in Brooklyn,148,Entire home/apt,30 reviews,
Excellent Room  with Comfy Bed,94,Private room,0 reviews,
Explore Brooklyn!,73,Private room,8 reviews,
"Private room, minutes from subway!",65,Private room,13 reviews,
Luxury Private Bed nr C/3 Subways,93,Private room,11 reviews,
"Large, sunny bedroom",88,Private room,0 reviews,
SWEET ROOM B- 15 MINUTES >MANHATTAN,98,Private room,62 reviews,
The Black and White Loft,121,Private room,35 reviews,
Lovely Spacious Private Room,121,Private room,48 reviews,
Spacious Room in Clinton Hill,88,Private room,0 reviews,
Room in East Williamsburg,135,Private room,0 reviews,
Comfortable Room available,73,Private room,44 reviews,
Garden Room,94,Private room,8 reviews,
Exclusive 2BR Heart of Williamsburg,236,Entire home/apt,0 reviews,
KING SIZE LUX Private Master Studio,120,Entire home/apt,6 reviews,
Lovely living room space.,61,Shared room,0 reviews,
spacious studio apartment,155,Entire home/apt,132 reviews,
Beautiful & Charming Loft Space,337,Entire home/apt,0 reviews,
"1BR w/roof: Williamsburg, Brooklyn",149,Entire home/apt,1 review,
Room in the heart of Williamsburg,81,Private room,0 reviews,
Nice Carroll Gardens 1BR by F Train,202,Entire home/apt,0 reviews,
2-bed Garden Apt on quiet block,175,Entire home/apt,1 review,
"Nice Cozy Room in Brooklyn, NYC",79,Private room,9 reviews,
Designer's apt steps from subway,124,Entire home/apt,0 reviews,
Private Williamsburg Flat,168,Entire home/apt,60 reviews,
My apartment is awesome.,170,Private room,6 reviews,
Kid Friendly 2bed/2bath CobbleHill,323,Entire home/apt,0 reviews,
Private apartment  10 mins to NYC,114,Entire home/apt,51 reviews,
Top Floor! Big Room! Brooklyn!!,74,Private room,0 reviews,
BUDGET LUXURY 2 BY BROOKLYN BRIDGE!,148,Private room,0 reviews,
One bedroom apartment,149,Private room,0 reviews,
Sunny Bedroom In Vibrant Brooklyn!,88,Private room,81 reviews,
Private Room & Bathroom. Roof Top.,141,Private room,10 reviews,
Quiet & Big Bedroom near the Subway,61,Private room,3 reviews,
Cozy Bedroom in Artist Home,88,Private room,13 reviews,
Daybed with privacy curtain,66,Shared room,1 review,
Spacious Bright double bedroom,86,Private room,0 reviews,
Ideally Situated Brooklyn Apt,121,Private room,0 reviews,
Private sunny bedroom in BK,81,Private room,2 reviews,
BROWNSTONE BEAUTY,101,Entire home/apt,5 reviews,
Cozy Studio -heart of Williamsburg!,148,Entire home/apt,2 reviews,
Room in Spacious Williamsburg Loft,81,Private room,0 reviews,
"Spacious, Renovated Bed Stuy home",81,Entire home/apt,0 reviews,
Sunny & Spacious in Park Slope,155,Entire home/apt,2 reviews,
Shared Apartment to share,135,Private room,0 reviews,
Beds Bikes Breakfast on The Park,61,Private room,24 reviews,
Lovely Sunny Apt Near 3 Subways,86,Private room,4 reviews,
Perfect 2BR for a family!,202,Entire home/apt,0 reviews,
Chic Studio Apartment in Bed Stuy,132,Entire home/apt,0 reviews,
"Charming, modern, spacious",195,Entire home/apt,5 reviews,
NYC artists’ loft with roof deck,67,Private room,76 reviews,
Hidden Gem: Kensington Master Suite,202,Entire home/apt,0 reviews,
5 Star Apartment and Experience,228,Entire home/apt,166 reviews,
One room in a 4 Bedroom apt.,54,Private room,0 reviews,
"BK Garden Oasis Queen bd, L train!",83,Private room,15 reviews,
"The Ladies Loft, The Lower Bunk",58,Shared room,15 reviews,
Large 1bd N Prime Greenpoint w/yard,303,Entire home/apt,0 reviews,
"Comfy, convenient bedroom in Bklyn!",108,Private room,24 reviews,
Bright and Airy Brooklyn Abode,195,Entire home/apt,4 reviews,
Beautiful Room in Brooklyn,66,Private room,2 reviews,
"Modern, Well-Appointed Room in NYC!",88,Private room,115 reviews,
A Cozy Studio in Clinton Hill,148,Entire home/apt,3 reviews,
The Library Loft's White Room,121,Private room,51 reviews,
spacious studio apartment,155,Entire home/apt,132 reviews,
BUDGET LUXURY A BY BROOKLYN BRIDGE!,148,Private room,0 reviews,
"20mins to Manhattan, Private Room B",94,Private room,20 reviews,
Room with En Suite Bathroom & Deck,114,Private room,240 reviews,
Gorgeous 1BR w huge private terrace,133,Entire home/apt,0 reviews,
Private Williamsburg Penthouse,175,Private room,49 reviews,
Big-Clean-Cozy-Unique-Chic Share,159,Private room,88 reviews,
full floor apt with back patio,162,Entire home/apt,1 review,
"Cozy Room in Clinton Hill, Bk",94,Private room,0 reviews,
SUNNY MODERN LOFT A ON BEDFORD AVE!,129,Private room,56 reviews,
beautiful brownstone,175,Entire home/apt,59 reviews,
Brookyln Apartment with Back Yard!,54,Private room,0 reviews,
Beautiful One Bedroom Brooklyn Apt,81,Entire home/apt,4 reviews,
Spacious Comfortable Studio,94,Private room,0 reviews,
"Comfortable modernloft , city view",162,Private room,0 reviews,
Large 2br apartment in Brooklyn,254,Entire home/apt,0 reviews,
Roomy // Clean Apt in Bushwick,209,Entire home/apt,0 reviews,
9Bright Private Room in Lux Loft,135,Private room,29 reviews,
SWEET ROOM B- 15 MINUTES >MANHATTAN,98,Private room,62 reviews,
"Cozy private room in Brooklyn, NY.",67,Private room,7 reviews,
2BR + Roof Top-20min from Manhattan,315,Entire home/apt,0 reviews,
Great studio,471,Entire home/apt,0 reviews,
Greenpoint 2 Bedroom Duplex,229,Entire home/apt,0 reviews,
Cozy BedStuy Nook with Private RR,67,Private room,4 reviews,
Family Owned & Operated Brownstone,81,Private room,53 reviews,
"Nice Cozy Room in Brooklyn, NYC",79,Private room,9 reviews,
Cozy Private Room in Hip Bushwick,101,Private room,37 reviews,
Spacious Brownstone Room,108,Private room,7 reviews,
Mitchell Manor,168,Entire home/apt,39 reviews,
BUDGET LUXURY 2 BY BROOKLYN BRIDGE!,148,Private room,0 reviews,
"Awesome Apt by 2,3,4,5,C,B,Q train",121,Entire home/apt,64 reviews,
"1BR in charming 2BR, Clinton Hill",100,Private room,6 reviews,
Sunny Brownstone Private Backyard,101,Private room,12 reviews,
Private Room in Victorian House,101,Private room,29 reviews,
The Heart of Williamsburg,128,Private room,17 reviews,
Harmony Room with Bed and Futon,101,Private room,0 reviews,
Sunny 1 or 2 BR apt in Boerum Hill,254,Entire home/apt,85 reviews,
2 room suite in quiet brownstone,183,Entire home/apt,20 reviews,
"Huge, sunny room just for you!",101,Private room,3 reviews,
New Budget Room #3,66,Private room,27 reviews,
4-person Private Room Near Subway,101,Private room,0 reviews,
"Great space, amazing location",106,Private room,16 reviews,
Charming Carroll Gardens Studio,132,Entire home/apt,1 review,
Cozy Rm In BedSty Blks From A Train,105,Private room,2 reviews,
"2BR gem in Cobble Hill, Brooklyn",162,Entire home/apt,4 reviews,
"BEST DEAL IN BROOKLYN, FULL SIZE BD",61,Private room,86 reviews,
Beautiful Room in Brooklyn,66,Private room,2 reviews,
#2~Studio Suite-10 mins Manhattan!,133,Entire home/apt,40 reviews,
Charming brownstone in Bed-Stuy,135,Entire home/apt,0 reviews,
Charming Private BD in Brooklyn,94,Private room,40 reviews,
Gorgeous Brownstone Suite,176,Private room,40 reviews,
Cute and bright studio apartment,141,Entire home/apt,9 reviews,
Cozy Private Room in Hip Bushwick,101,Private room,37 reviews,
"Bright, Clean, 1/2 Block from Train",61,Private room,0 reviews,
BEST DEAL IN BROOKLYN,50,Shared room,13 reviews,
Le Petit Château,135,Entire home/apt,10 reviews,
Large Brand New Park Slope 1BR,175,Entire home/apt,46 reviews,
Beautiful Brownstone Apartment,106,Private room,6 reviews,
Bright & Cozy Brownstone Studio,128,Entire home/apt,6 reviews,
Huge one bedroom in Ditmas Park,135,Entire home/apt,2 reviews,
BedStuy Room with Backyard,71,Private room,37 reviews,
"Apt+private yard,20min to Manhattan",206,Entire home/apt,3 reviews,
Charming Brooklyn Room,93,Private room,11 reviews,
Sunny Queer Home by Prospect Park,67,Private room,0 reviews,
Lovely Bklyn Duplex w/ Courtyard,337,Entire home/apt,71 reviews,
South Slope Private Basement Studio,114,Private room,36 reviews,
Room in Spacious Brooklyn Apt,101,Private room,8 reviews,
Loft in Brooklyn w/AC!!! JULY SALE,202,Entire home/apt,39 reviews,
Private Room in Heart of Brooklyn,94,Private room,10 reviews,
Nice & bright room in Bushwick,53,Private room,32 reviews,
BK Garden Oasis 4! twn bunk beds,86,Private room,10 reviews,
"Lrg Apt in trendy Prospect Hts, Bk",182,Entire home/apt,63 reviews,
Sunny Studio near Prospect Park,108,Entire home/apt,32 reviews,
Room in perfect location,38,Private room,2 reviews,
Charming Carroll Gardens 2 bed apt,269,Entire home/apt,0 reviews,
Location! 1b apt 10min to Manhattan,201,Entire home/apt,84 reviews,
2 Bedroom Apartment in Brooklyn,199,Entire home/apt,19 reviews,
Bright New Mod 1bd+RoofDeck/WBurg,229,Entire home/apt,7 reviews,
bushwick share private room,61,Private room,1 review,
Enjoy your stay in NYC 2 Bed roooms,148,Entire home/apt,0 reviews,
Artsy Bushwick apt close to fun:),94,Private room,0 reviews,
Cozy Fort in Classic Artist's Loft,94,Private room,171 reviews,
"Simple, Spacious Bed Stuy 1 Bedroom",296,Entire home/apt,0 reviews,
Quiet 1BR on the Park with a Pool!,187,Entire home/apt,13 reviews,
Bright Room in the Best Location,108,Private room,10 reviews,
Comfy Room in the heart of BK!,62,Private room,19 reviews,
Bargain Private Room A4,66,Private room,43 reviews,
Cozy & modern studio in Ft. Greene!,175,Entire home/apt,0 reviews,
"Dreamy, Sunbathed Brownstone Apt.",90,Entire home/apt,1 review,
Room in peaceful Sunset Park,81,Private room,0 reviews,
Soaring Bushwick 3 Bedroom,370,Entire home/apt,7 reviews,
Brownstone Zen Garden Studio,141,Entire home/apt,0 reviews,
Bright Bedroom in Heart of BedStuy!,67,Private room,1 review,
Excellent Rm Best Area Williamsburg,114,Private room,39 reviews,
Special OFFER on Airbnb NYC Room!,93,Private room,31 reviews,
Treehouse Loft in an Artistic Haven,67,Private room,2 reviews,
Stay in hip Williamsburg apartment!,88,Private room,5 reviews,
"Cozy, sunny private room",74,Private room,5 reviews,
Amazing Williamsburg Studio NYC,202,Entire home/apt,182 reviews,
Classic Williamsburg,108,Private room,99 reviews,
Brooklyn Apartment,67,Private room,3 reviews,
Penthouse apartment with roof deck,133,Entire home/apt,3 reviews,
cozysunny studio in manhattan beach,116,Entire home/apt,0 reviews,
A Cozy Studio in Clinton Hill,148,Entire home/apt,3 reviews,
Brand New Clinton Hill 1BR,175,Entire home/apt,4 reviews,
Clinton Hill 2 bedroom,175,Entire home/apt,6 reviews,
Charming Room in Bright Modern Apt,74,Private room,2 reviews,
Unique Artist's Apartment,162,Entire home/apt,0 reviews,
The Heights,175,Entire home/apt,0 reviews,
Modern Condo/Private Terrace w/View,133,Entire home/apt,0 reviews,
Stunning Studio in Fort Greene,135,Entire home/apt,4 reviews,
bed stuy do...,199,Entire home/apt,11 reviews,
Big private bedroom,79,Private room,4 reviews,
Cozy bedroom in Greenpoint,81,Private room,0 reviews,
Soaring Bushwick 3 Bedroom,370,Entire home/apt,7 reviews,
Private couples & family paradise,88,Entire home/apt,69 reviews,
Master Bedroom in Hip Williamsburg,148,Private room,27 reviews,
Studio - Hottest BKLYN Neighborhood,201,Entire home/apt,14 reviews,
Room + Private Bath near Manhattan,94,Private room,4 reviews,
Heart of Bushwick - Best Street Art,135,Entire home/apt,0 reviews,
"Sunny, family-friendly with parking",171,Entire home/apt,5 reviews,
Beautiful Room in Modern BK Apt,94,Private room,8 reviews,
Private Entry Garden Apartment,108,Entire home/apt,118 reviews,
"Comfy, Cozy Bedroom",121,Private room,26 reviews,
Williamsburg Room - AMAZING views!,100,Private room,13 reviews,
SPACIOUS WILLIAMSBURG LOFT,108,Private room,1 review,
Large 1BR right by Prospect Park,162,Entire home/apt,6 reviews,
Beautiful Artistic Studio + Den,162,Entire home/apt,1 review,
Spacious room 25 min from Manhattan,67,Private room,19 reviews,
Classic 1BR Brownstone w/ Backyard,135,Entire home/apt,0 reviews,
Charming 3bdrm Loft~Bed & Bagel!,316,Entire home/apt,59 reviews,
Roof Studio + Private Bath + Deck,156,Private room,15 reviews,
The studio on the park!,175,Entire home/apt,4 reviews,
COMFORTABLE PRIVATE ROOM FOR RENT,104,Private room,6 reviews,
Cozy Room In Vibrant Brooklyn!,66,Private room,93 reviews,
Loft in Brooklyn,188,Entire home/apt,9 reviews,
Brooklyn Finest Room Rentals 2,66,Private room,0 reviews,
A Tree Grows in Brooklyn,114,Private room,0 reviews,
Nice Bedroom in Brooklyn Brownstone,67,Private room,11 reviews,
Very private & large room Wburg BK,135,Private room,2 reviews,
Bookish 1br in Sunny Brownstone,175,Entire home/apt,0 reviews,
Midcentury Inspired Plantlovers Apt,195,Entire home/apt,0 reviews,
Comfort and Convenience by the Park,108,Private room,22 reviews,
ZEN LOFT 3 - INSTANT BOOK NOW :),108,Private room,37 reviews,
Loft room in Williamsburg/Bushwick!,77,Private room,8 reviews,
sunny 1-bedroom oasis on the park,162,Entire home/apt,1 review,
Sweet Luxury Studio! Brand new!,88,Entire home/apt,2 reviews,
Spacious Loft - J/M/Z & L train,215,Entire home/apt,5 reviews,
Cozy Brooklyn Home 20 mins to City!,110,Private room,6 reviews,
Spacious corner apartment in DUMBO,268,Entire home/apt,2 reviews,
Brooklyn Private Space Rental 3,88,Private room,31 reviews,
Close to everything one bedroom Apt,114,Entire home/apt,8 reviews,
Sunny Room in Williamsburg Loft,121,Private room,0 reviews,
